feature,abs_coefficient
cat__donation_type_Monetary,314.7754992591125
cat__impact_unit_pesos,314.7754992591124
cat__impact_unit_hours,236.00259375320618
cat__impact_unit_campaigns,160.11999339674475
cat__donation_type_SocialMedia,160.11999339674466
cat__donation_type_Time,148.60195734481658
cat__campaign_name_GivingTuesday,142.16484536278574
cat__channel_source_PartnerReferral,119.0616425908055
cat__campaign_name_Summer of Safety,98.63171552101701
cat__donation_type_Skills,87.40063640838943
cat__channel_source_Campaign,86.33531693259415
cat__impact_unit_items,81.34708789083844
cat__donation_type_InKind,81.34708789083837
cat__campaign_name_Back to School,54.51659469926581
num__is_recurring,47.22135478211422
